game_id,game_date,player_name,player_id,minutes,pts,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,usage_pct,ts_pct,ortg,drtg,game_score
22400100,2024-10-26,Tyler Herro,201,38,21,9,9,1.0,1,1,1.0,3,3,1.0,1,4,5,5,1,0,5,5,1,29.4,0.8,131.5,114.4,17.7
22400100,2024-10-26,Bam Adebayo,202,33,22,7,10,0.7,7,8,0.875,1,2,0.5,0,10,10,4,1,1,3,3,1,20.0,0.8,84.5,120.3,20.7
22400100,2024-10-26,Jimmy Butler,203,32,18,8,9,0.889,1,2,0.5,1,2,0.5,1,4,5,4,2,0,4,0,1,22.8,0.8,99.8,116.4,17.2
22400100,2024-10-26,Terry Rozier,204,32,13,5,8,0.625,3,3,1.0,1,4,0.25,0,5,5,4,1,0,3,2,13,20.4,0.666,94.7,115.1,9.7
22400100,2024-10-26,Jaime Jaquez Jr.,205,25,8,4,4,1.0,0,1,0.0,0,0,0.0,1,5,6,2,1,0,1,0,19,22.9,0.8,118.2,92.4,10.4
22400100,2024-10-26,Duncan Robinson,206,31,7,3,4,0.75,1,2,0.5,0,0,0.0,1,3,4,3,1,0,2,3,10,20.3,0.8,99.9,125.9,6.9
22400100,2024-10-26,Nikola Jovic,207,22,8,3,3,1.0,1,2,0.5,0,2,0.0,1,5,6,1,0,1,2,4,20,10.1,0.8,107.3,90.2,6.3
22400100,2024-10-26,Haywood Highsmith,208,21,12,6,8,0.75,0,0,0.0,1,1,1.0,2,1,3,2,1,1,2,4,15,10.0,0.711,131.9,125.5,10.0
22400100,2024-10-26,Kevin Love,209,20,8,2,2,1.0,2,3,0.667,1,2,0.5,3,3,6,1,0,0,2,1,17,15.3,0.8,112.2,102.0,8.3
22400100,2024-10-26,Thomas Bryant,210,15,8,3,5,0.6,1,1,1.0,0,2,0.0,3,3,6,2,1,0,0,1,5,11.5,0.68,108.5,111.2,9.9
22400100,2024-10-26,Josh Richardson,211,16,0,0,1,0.0,0,0,0.0,0,2,0.0,1,3,4,0,1,1,1,2,7,11.2,0.3,124.5,105.5,-0.0
22400100,2024-10-26,Pelle Larsson,213,15,1,0,3,0.0,0,1,0.0,1,1,1.0,0,0,0,2,1,0,2,4,3,5.4,0.3,100.2,120.7,-2.3
22400101,2024-10-29,Tyler Herro,201,34,23,7,8,0.875,7,10,0.7,2,5,0.4,3,4,7,6,0,0,2,4,3,24.1,0.8,106.8,109.0,22.9
22400101,2024-10-29,Bam Adebayo,202,37,16,8,11,0.727,0,0,0.0,0,0,0.0,0,14,14,3,2,0,3,3,-5,21.8,0.727,110.6,126.6,15.6
22400101,2024-10-29,Jimmy Butler,203,37,21,9,9,1.0,1,2,0.5,3,4,0.75,1,5,6,6,1,1,4,4,2,27.5,0.8,103.1,127.3,20.4
