game_date,home_away,opponent,opponent_abbr,game_time
2025-03-06,Home,Orlando Magic,ORL,19:30 ET
2025-03-07,Away,Cleveland Cavaliers,CLE,20:00 ET
2025-03-08,Away,Chicago Bulls,CHI,19:30 ET
2025-03-11,Home,Portland Trail Blazers,POR,15:00 ET
2025-03-14,Home,Los Angeles Lakers,LAL,15:00 ET
2025-03-17,Home,Chicago Bulls,CHI,19:00 ET
2025-03-19,Away,Los Angeles Lakers,LAL,15:30 ET
2025-03-21,Away,Minnesota Timberwolves,MIN,20:30 ET
2025-03-23,Home,Boston Celtics,BOS,20:00 ET
2025-03-25,Away,Golden State Warriors,GSW,19:00 ET
2025-03-27,Away,Houston Rockets,HOU,19:30 ET
2025-03-28,Away,Utah Jazz,UTA,20:30 ET
2025-03-30,Away,Detroit Pistons,DET,20:00 ET
2025-04-01,Home,Charlotte Hornets,CHA,20:30 ET
2025-04-03,Home,Atlanta Hawks,ATL,19:00 ET
