game_id,game_date,home_away,opponent,opponent_abbr,result,team_score,opponent_score,fg_pct,fg3_pct,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,ortg,drtg,pace,ts_pct,efg_pct,tov_pct,oreb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_oreb_pct,opp_ft_rate
22400100,2024-10-26,Home,Cleveland Cavaliers,CLE,W,109,99,0.459,0.35,0.717,14,40,54,22,6,7,17,23,10,110.9,98.7,99.6,0.571,0.52,9.5,19.6,0.326,0.498,11.8,19.1,0.18
22400101,2024-10-29,Home,Chicago Bulls,CHI,L,115,122,0.449,0.322,0.76,10,36,46,24,10,4,16,26,-7,109.9,117.7,104.2,0.585,0.486,14.5,17.7,0.307,0.491,9.1,22.5,0.212
22400102,2024-10-31,Home,Orlando Magic,ORL,L,101,108,0.447,0.434,0.799,6,36,42,24,6,7,17,16,-7,103.8,113.4,96.8,0.551,0.505,11.6,21.8,0.26,0.524,13.6,29.3,0.219
22400103,2024-11-03,Home,Golden State Warriors,GSW,W,100,85,0.438,0.482,0.774,10,31,41,26,11,2,13,21,15,108.1,95.0,97.5,0.517,0.454,12.4,29.3,0.248,0.564,12.6,24.2,0.304
22400104,2024-11-06,Home,Washington Wizards,WAS,W,101,91,0.46,0.387,0.903,6,28,34,23,8,3,12,19,10,101.0,95.0,97.7,0.558,0.51,11.4,26.1,0.292,0.547,13.3,30.1,0.217
22400105,2024-11-07,Home,Milwaukee Bucks,MIL,W,114,97,0.474,0.398,0.786,6,33,39,32,5,4,13,26,17,117.2,97.5,96.7,0.569,0.506,10.6,22.7,0.281,0.541,11.5,29.9,0.277
22400106,2024-11-09,Home,Minnesota Timberwolves,MIN,W,101,87,0.492,0.376,0.794,14,31,45,25,12,4,11,21,14,101.1,95.0,101.1,0.558,0.531,12.4,37.8,0.239,0.506,15.0,24.4,0.253
22400107,2024-11-12,Away,Philadelphia 76ers,PHI,W,116,100,0.479,0.309,0.746,6,36,42,27,8,7,10,21,16,115.0,98.7,102.7,0.577,0.519,13.7,26.3,0.269,0.479,14.4,23.6,0.235
22400108,2024-11-14,Away,Oklahoma City Thunder,OKC,W,109,96,0.455,0.32,0.798,6,29,35,26,10,5,18,22,13,109.1,97.7,98.6,0.548,0.498,13.6,28.2,0.302,0.472,14.4,17.8,0.2
22400109,2024-11-15,Home,Houston Rockets,HOU,W,119,103,0.426,0.321,0.758,13,37,50,22,8,6,19,16,16,115.0,101.5,101.0,0.516,0.458,12.0,26.1,0.275,0.508,13.8,20.9,0.283
22400110,2024-11-18,Away,Washington Wizards,WAS,W,107,104,0.48,0.302,0.746,7,32,39,31,10,7,13,15,3,107.2,105.4,98.6,0.598,0.522,18.0,30.1,0.296,0.562,14.0,23.6,0.214
22400111,2024-11-20,Home,Orlando Magic,ORL,L,108,114,0.472,0.265,0.744,7,36,43,25,5,4,20,21,-6,101.5,108.9,104.5,0.556,0.503,11.1,35.8,0.244,0.488,11.5,21.5,0.208
22400112,2024-11-22,Home,Cleveland Cavaliers,CLE,W,113,93,0.472,0.307,0.853,10,39,49,31,5,4,10,21,20,124.1,98.3,92.3,0.609,0.524,13.8,23.3,0.256,0.541,13.8,30.6,0.14
